repo_id,url,stratum,family_id,family_relation,discovery_scope,task,parameters,languages,license_status,subject_areas,top_evidence_type,evidence_quote,description,review_factual,review_evidence_sufficient,review_omissions,review_family_correct,review_useful
cross-encoder/msmarco-MiniLM-L6-en-de-v1,https://huggingface.co/cross-encoder/msmarco-MiniLM-L6-en-de-v1,embedding_retrieval,microsoft--multilingual-minilm-l12-h384,derived_from,primary,text-ranking,107007873,en;de,recognized_identifier,multilingual-nlp,intended_for,This is a cross-lingual Cross-Encoder model for EN-DE that can be used for passage re-ranking.,Cross‑lingual Cross‑Encoder model for EN‑DE passage re‑ranking.,,,,,
davidmsmiley/MiqraBERT,https://huggingface.co/davidmsmiley/MiqraBERT,embedding_retrieval,imvladikon--sentence-transformers-alephbert,derived_from,primary,sentence-similarity,125976576,he;biblical hebrew,recognized_identifier,multilingual-nlp;document-understanding,intended_for,"Language:** Biblical Hebrew (vocalized, with niqqud)","A sentence-transformers model finetuned from AlephBERT for detecting parallel passages in the Hebrew Bible. It maps Biblical Hebrew verses to 768-dimensional embeddings where cosine similarity reflects textual parallelism — high scores indicate genuine synoptic parallels, low scores indicate unrelated text.",,,,,
5w4n/base-burmese-llm,https://huggingface.co/5w4n/base-burmese-llm,specialized_nlp,meta-llama--llama-2-7b-chat-hf,canonical,primary,question-answering,6873681920,my;burmese,declared_text,multilingual-nlp,trained_on,This model is trained with 52K Burmese instruction tuning dataset.,This model is trained with 52K Burmese instruction tuning dataset.,,,,,
AfriNLP/AfriNLLB-12enc-12dec-full-ft,https://huggingface.co/AfriNLP/AfriNLLB-12enc-12dec-full-ft,specialized_nlp,facebook--nllb-200-distilled-600m,derived_from,primary,translation,615073792,ar;am;af;arz;es;en;fr;ha;ln;pt;so;sw;wo;yo;zu,recognized_identifier,multilingual-nlp,intended_for,AfriNLLB is a series of efficient multilingual open-source models for African languages.,AfriNLLB is a series of efficient multilingual open‑source models for African languages.,,,,,
AfriNLP/AfriNLLB-12enc-12dec-full-ft-kd,https://huggingface.co/AfriNLP/AfriNLLB-12enc-12dec-full-ft-kd,specialized_nlp,facebook--nllb-200-distilled-600m,derived_from,primary,translation,615073792,ar;am;af;arz;es;en;fr;ha;ln;pt;so;sw;wo;yo;zu;arabic (msa),recognized_identifier,,intended_for,Model type:** Translation,AfriNLLB is a series of efficient multilingual open‑source models for African languages.,,,,,
Aiden1020/LocalSubs-EN-ZH-TW-0.6B,https://huggingface.co/Aiden1020/LocalSubs-EN-ZH-TW-0.6B,specialized_nlp,niutrans--lmt-60-0-6b-base,derived_from,primary,translation,506028032,en;zh,recognized_identifier,multilingual-nlp,fine_tuned_on,The SFT dataset was built from two public subtitle corpora.,"A fine‑tuned quantized model with a domain‑specific tokenizer for cue‑level, context‑aware English → Taiwan Traditional Chinese subtitle translation, optimized for local real‑time inference.",,,,,
Aimu0999/mDeBERTa-v3-base-xnli-multilingual-nli-finetuned,https://huggingface.co/Aimu0999/mDeBERTa-v3-base-xnli-multilingual-nli-finetuned,specialized_nlp,moritzlaurer--mdeberta-v3-base-xnli-multilingual-nli-2mil7,derived_from,primary,zero-shot-classification,278811651,en;ar;fr;es;de;zh,recognized_identifier,,fine_tuned_on,It is specialized in **Cross-Lingual NLI**.,Fine‑tuned mDeBERTa‑v3 for cross‑lingual natural language inference (NLI) and zero‑shot text classification across 100+ languages.,,,,,
AnasAlokla/multilingual_go_emotions,https://huggingface.co/AnasAlokla/multilingual_go_emotions,specialized_nlp,google-bert--bert-base-multilingual-cased,derived_from,primary,text-classification,177874972,ar;en;fr;es;nl;tr,recognized_identifier,multilingual-nlp;social-science,fine_tuned_on,"Truly Multilingual**: Natively supports 6 major languages, making it ideal for global applications.","A multilingual, multi‑label emotion classification model fine‑tuned from bert‑base‑multilingual‑cased on the multilingual_go_emotions dataset, supporting Arabic, English, French, Spanish, Dutch and Turkish, and classifying 27 emotions plus a neutral class.",,,,,
BSC-LT/salamandraTA-7b-instruct,https://huggingface.co/BSC-LT/salamandraTA-7b-instruct,specialized_nlp,bsc-lt--salamandra-7b,derived_from,primary,translation,7768117248,bg;ca;cs;cy;da;de;el;en;es;et;eu;fi;fr;ga;gl;hr;hu;it;lt;lv;mt;nl;nb;no;oc;pl;pt;ro;ru;sl;sk;sr;sv;uk;ast;an;ar;ja;hi;ko;zh;is,recognized_identifier,multilingual-nlp;document-understanding,trained_on,SalamandraTA-7b-instruct is a translation LLM that has been instruction-tuned from SalamandraTA-7b-base.,"SalamandraTA-7b-instruct is a 7.8B parameter instruction-tuned translation LLM capable of general machine translation and translation-related tasks across 40 languages, built on a continual pre-training of Salamandra-7b.",,,,,
Babelscape/mrebel-large,https://huggingface.co/Babelscape/mrebel-large,specialized_nlp,babelscape--mrebel-large,canonical,primary,translation,611146967,ar;ca;de;el;en;es;fr;hi;it;ja;ko;nl;pl;pt;ru;sv;vi;zh,recognized_identifier,,trained_on,"It can be used as a standalone multulingual Relation Extraction system, or as a pretrained system to be tuned on multilingual Relation Extraction datasets.","mREBEL is a multilingual Relation Extraction model trained on the RED^FM dataset, usable as a standalone system or as a pretrained model for fine‑tuning on multilingual relation extraction tasks.",,,,,
Babelscape/mrebel-large-32,https://huggingface.co/Babelscape/mrebel-large-32,specialized_nlp,babelscape--mrebel-large,exact_duplicate_of,variant,translation,611146967,ar;ca;de;el;en;es;fr;hi;it;ja;ko;nl;pl;pt;ru;sv;vi;zh,recognized_identifier,,trained_on,We present a new multilingual Relation Extraction dataset and train a multilingual version of REBEL which reframed Relation Extraction as a seq2seq task.,"A multilingual relation extraction model (mREBEL) that reframes relation extraction as a seq2seq task, based on the REBEL architecture.",,,,,
E3-JSI/gliner-multi-pii-domains-v1,https://huggingface.co/E3-JSI/gliner-multi-pii-domains-v1,specialized_nlp,urchade--gliner-multi-pii-v1,derived_from,primary,token-classification,288949504,en;fr;de;es;pt;it;sl;el;nl,recognized_identifier,biomedicine;multilingual-nlp,fine_tuned_on,Extract entities from English medical text,"GLiNER Multi PII Domains is a token‑classification model that identifies personally identifiable information (PII) entities across multiple languages, built on a bidirectional transformer encoder.",,,,,
HamzaNaser/Dialects-to-MSA-Transformer,https://huggingface.co/HamzaNaser/Dialects-to-MSA-Transformer,specialized_nlp,facebook--m2m100-418m,derived_from,primary,summarization,483905536,ar;en,recognized_identifier,multilingual-nlp,trained_on,"even the Model was not Fine-Tuned on any English text, the Model still able to perform good English to Arabic translation due to its Pretraining on English texts","A transformer model fine‑tuned to convert Arabic dialects into Modern Standard Arabic (MSA) and Classical Arabic, with additional capabilities for text correction, punctuation, diacritization, and English‑to‑Arabic machine translation.",,,,,
HelpMumHQ/AI-translator-9ja-to-eng,https://huggingface.co/HelpMumHQ/AI-translator-9ja-to-eng,specialized_nlp,facebook--m2m100-418m,derived_from,primary,translation,483905536,yo;ig;ha,recognized_identifier,multilingual-nlp,trained_on,"This model is a 418 Million parameter translation model, built for translating from Yoruba, Igbo, and Hausa into English.","A 418 million‑parameter translation model that translates Yoruba, Igbo, and Hausa into English.",,,,,
Helsinki-NLP/opus-mt-tc-big-en-ar,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-en-ar,specialized_nlp,helsinki-nlp--opus-mt-tc-big-en-ar,canonical,primary,translation,239135551,ar;en,recognized_identifier,multilingual-nlp,intended_for,This is a multilingual translation model with multiple target languages.,"Neural machine translation model for translating from English (en) to Arabic (ar), part of the OPUS‑MT project.",,,,,
Helsinki-NLP/opus-mt-tc-big-he-en,https://huggingface.co/Helsinki-NLP/opus-mt-tc-big-he-en,specialized_nlp,helsinki-nlp--opus-mt-tc-big-he-en,canonical,primary,translation,238133101,en;he,recognized_identifier,multilingual-nlp,intended_for,Neural machine translation model for translating from Hebrew (he) to English (en).,Neural machine translation model for translating from Hebrew (he) to English (en).,,,,,
JSCreatorPro/offline-cpu-madlad-400,https://huggingface.co/JSCreatorPro/offline-cpu-madlad-400,specialized_nlp,google--madlad400-3b-mt,exact_duplicate_of,variant,translation,2940374016,multilingual;en;ru;es;fr;de;it;pt;pl;nl;vi;tr;sv;id;ro;cs;zh;hu;ja;th;fi;fa;uk;da;el;no;bg;sk;ko;ar;lt;ca;sl;he;et;lv;hi;sq;ms;az;sr;ta;hr;kk;is;ml;mr;te;af;gl;fil;be;mk;eu;bn;ka;mn;bs;uz;ur;sw;yue;ne;kn;kaa;gu;si;cy;eo;la;hy;ky;tg;ga;mt;my;km;tt;so;ku;ps;pa;rw;lo;ha;dv;fy;lb;ckb;mg;gd;am;ug;ht;grc;hmn;sd;jv;mi;tk;ceb;yi;ba;fo;or;xh;su;kl;ny;sm;sn;co;zu;ig;yo;pap;st;haw;as;oc;cv;lus;tet;gsw;sah;br;rm;sa;bo;om;se;ce;cnh;ilo;hil;udm;os;lg;ti;vec;ts;tyv;kbd;ee;iba;av;kha;to;tn;nso;fj;zza;ak;ada;otq;dz;bua;cfm;ln;chm;gn;krc;wa;hif;yua;srn;war;rom;bik;pam;sg;lu;ady;kbp;syr;ltg;myv;iso;kac;bho;ay;kum;qu;za;pag;ngu;ve;pck;zap;tyz;hui;bbc;tzo;tiv;ksd;gom;min;ang;nhe;bgp;nzi;nnb;nv;zxx;bci;kv;new;mps;alt;meu;bew;fon;iu;abt;mgh;mnw;tvl;dov;tlh;ho;kw;mrj;meo;crh;mbt;emp;ace;ium;mam;gym;mai;crs;pon;ubu;fip;quc;gv;kj;btx;ape;chk;rcf;shn;tzh;mdf;ppk;ss;gag;cab;kri;seh;ibb;tbz;bru;enq;ach;cuk;kmb;wo;kek;qub;tab;bts;kos;rwo;cak;tuc;bum;cjk;gil;stq;tsg;quh;mak;arn;ban;jiv;sja;yap;tcy;toj;twu;xal;amu;rmc;hus;nia;kjh;bm;guh;mas;acf;dtp;ksw;bzj;din;zne;mad;msi;mag;mkn;kg;lhu;ch;qvi;mh;djk;sus;mfe;srm;dyu;ctu;gui;pau;inb;bi;mni;guc;jam;wal;jac;bas;gor;skr;nyu;noa;sda;gub;nog;cni;teo;tdx;sxn;rki;nr;frp;alz;taj;lrc;cce;rn;jvn;hvn;nij;dwr;izz;msm;bus;ktu;chr;maz;tzj;suz;knj;bim;gvl;bqc;tca;pis;prk;laj;mel;qxr;niq;ahk;shp;hne;spp;koi;krj;quf;luz;agr;tsc;mqy;gof;gbm;miq;dje;awa;bjj;qvz;sjp;tll;raj;kjg;bgz;quy;cbk;akb;oj;ify;mey;ks;cac;brx;qup;syl;jax;ff;ber;tks;trp;mrw;adh;smt;srr;ffm;qvc;mtr;ann;aa;noe;nut;gyn;kwi;xmm;msb,recognized_identifier,multilingual-nlp,intended_for,Primary intended uses: Machine Translation and multilingual NLP tasks on over 400 languages.,MADLAD-400-3B-MT is a multilingual machine translation model based on the T5 architecture that was trained on 1 trillion tokens covering over 450 languages using publicly available data. It is competitive with models that are significantly larger.,,,,,
Kobi-01/fine-tuned-tamil-squad,https://huggingface.co/Kobi-01/fine-tuned-tamil-squad,specialized_nlp,deepset--xlm-roberta-large-squad2,derived_from,primary,question-answering,558842882,ta;en,unknown,,,,This is the model card of a 🤗 transformers model that has been pushed on the Hub. This model card has been automatically generated.,,,,,
LiquidAI/LFM2-350M-ENJP-MT,https://huggingface.co/LiquidAI/LFM2-350M-ENJP-MT,specialized_nlp,liquidai--lfm2-350m,derived_from,primary,translation,354483968,en;ja,declared_text,,fine_tuned_on,LFM2-350M-ENJP-MT delivers translation quality that is on par with models more than 10 times its size.,"Based on the LFM2-350M model, this checkpoint has been fine‑tuned for near real‑time bi‑directional Japanese/English translation of short‑to‑medium inputs.",,,,,
LiquidAI/LFM2.5-Encoder-350M-PII-Detector,https://huggingface.co/LiquidAI/LFM2.5-Encoder-350M-PII-Detector,specialized_nlp,liquidai--lfm2-5-encoder-350m,derived_from,primary,token-classification,354649154,en;de;fr;es;pt;it;pl;ru;zh;ja;ko;ar;hi;id;vi;th,declared_text,safety-and-moderation;multilingual-nlp,trained_on,covering **40 PII types** across **16 languages**.,"A full fine-tune of LFM2.5-Encoder-350M with a token‑classification head, covering 40 PII types across 16 languages.",,,,,
LiquidAI/LFM2.5-Encoder-350M-Prompt-Router,https://huggingface.co/LiquidAI/LFM2.5-Encoder-350M-Prompt-Router,specialized_nlp,liquidai--lfm2-5-encoder-350m,derived_from,primary,text-classification,355008768,en;de;es;fr;it;nl;pl;pt;ar;hi;ja;ru;tr;vi;zh,declared_text,,intended_for,zero-shot routing head that scores a prompt against user-defined routing lanes in a single encoder pass.,A fine-tuned LFM2.5-Encoder-350M model with a zero‑shot routing head that scores prompts against user‑defined routing lanes in a single encoder pass.,,,,,
LucasLeee/mt5-small-finetuned-amazon-reviews-en-es,https://huggingface.co/LucasLeee/mt5-small-finetuned-amazon-reviews-en-es,specialized_nlp,google--mt5-small,derived_from,primary,summarization,300176768,en;es,unknown,document-understanding;multilingual-nlp,fine_tuned_on,This model is fine-tuned version of google/mt5-small on book reviews part of amazon reivews dataset.,Fine‑tuned MT5‑small on book reviews from the Amazon reviews dataset.,,,,,
MaagDeveloper/MoritzLaurer-mDeBERTa-v3-base-mnli-xnli,https://huggingface.co/MaagDeveloper/MoritzLaurer-mDeBERTa-v3-base-mnli-xnli,specialized_nlp,moritzlaurer--mdeberta-v3-base-mnli-xnli,exact_duplicate_of,variant,zero-shot-classification,278812163,multilingual;en;ar;bg;de;el;es;fr;hi;ru;sw;th;tr;ur;vi;zh,recognized_identifier,multilingual-nlp,trained_on,This multilingual model can perform natural language inference (NLI) on 100 languages and is therefore also suitable for multilingual zero-shot classification.,This multilingual model can perform natural language inference (NLI) on 100 languages and is therefore also suitable for multilingual zero-shot classification.,,,,,
MarfinF/marfin_emotion,https://huggingface.co/MarfinF/marfin_emotion,specialized_nlp,moritzlaurer--mdeberta-v3-base-mnli-xnli,derived_from,primary,zero-shot-classification,278811651,id;en,recognized_identifier,multilingual-nlp,fine_tuned_on,"This model is fine-tuned from `MoritzLaurer/mDeBERTa-v3-base-mnli-xnli` for **emotion detection** tasks based on chat context, specifically optimized for **Indonesian and English**.",Fine‑tuned DeBERTa model for Indonesian and English emotion detection via zero‑shot classification.,,,,,
NAMAA-Space/masrawy-english-to-egyptian-arabic-translator-v2.9,https://huggingface.co/NAMAA-Space/masrawy-english-to-egyptian-arabic-translator-v2.9,specialized_nlp,helsinki-nlp--opus-mt-tc-big-en-ar,derived_from,primary,translation,239135551,ar;en,recognized_identifier,multilingual-nlp,trained_on,This model is finetuned on Helsinki-NLP/opus-mt-tc-big-en-ar for English to Egyptian dialect translations.,"Fine‑tuned English‑to‑Egyptian Arabic translation model based on Helsinki‑NLP/opus‑mt‑tc‑big‑en‑ar, trained on 150 k sentence pairs (≈10 M tokens).",,,,,
NetherQuartz/ilo-toki-1.1-MiLMMT-46-1b-merged,https://huggingface.co/NetherQuartz/ilo-toki-1.1-MiLMMT-46-1b-merged,specialized_nlp,xiaomi-research--milmmt-46-1b-pretrain,derived_from,primary,translation,1301875840,tok;en;ru;vi;toki pona,declared_text,multilingual-nlp,trained_on,The base is a 46-language translation model from Xiaomi Research,"Translator between Toki Pona and English, Russian, Vietnamese, suitable for on-device use.",,,,,
NetherQuartz/ilo-toki-1.4-MiLMMT-46-1b-merged,https://huggingface.co/NetherQuartz/ilo-toki-1.4-MiLMMT-46-1b-merged,specialized_nlp,xiaomi-research--milmmt-46-1b-pretrain,derived_from,primary,translation,999885952,tok;en;ru;vi;toki pona,declared_text,multilingual-nlp,trained_on,"Proper names, which Toki Pona transliterates rather than borrows.","A translator between [Toki Pona](https://tokipona.org) and English, Russian and Vietnamese. Small enough to run on a phone: it powers [ilo toki](https://github.com/NetherQuartz/ilo-toki-app), which does all of its translation on device.",,,,,
2KKLabs/Kaleidoscope_small_v1,https://huggingface.co/2KKLabs/Kaleidoscope_small_v1,vision_multimodal,ai-forever--rubert-base,derived_from,primary,document-question-answering,177718274,ru;en,recognized_identifier,document-understanding;multilingual-nlp,fine_tuned_on,This model is a fine-tuned version of sberbank-ai/ruBert-base designed for the task of document question answering.,"A fine‑tuned BERT model (ruBert-base) for extracting answers from document contexts, supporting Russian and English inputs.",,,,,
AvoCahDoe/invoice-layout-yolov8n,https://huggingface.co/AvoCahDoe/invoice-layout-yolov8n,vision_multimodal,ultralytics--yolov8n,canonical,primary,object-detection,,en;de,recognized_identifier,document-understanding,fine_tuned_on,"Fine-tuned **YOLOv8n** for **8-class invoice document layout** region detection (metadata, vendor/customer blocks, table, line items, summary, payment, column headers).","Fine‑tuned YOLOv8n for 8‑class invoice document layout detection, achieving mAP50 of 0.96 on a held‑out test set.",,,,,
CCCCyx/MOSS-VL-0708-Instruct,https://huggingface.co/CCCCyx/MOSS-VL-0708-Instruct,vision_multimodal,openmoss-team--moss-vl-base-0708,derived_from,primary,video-text-to-text,11336371208,en;zh,recognized_identifier,document-understanding,fine_tuned_on,"Reliable instruction following: SFT aligns the base checkpoint with user instructions across image, video, and text tasks.","MOSS-VL-Instruct-0708 is the instruction‑tuned checkpoint of the MOSS‑VL 0708 release, part of the OpenMOSS ecosystem for open visual understanding.",,,,,
OpenGVLab/InternVL-Chat-V1-5,https://huggingface.co/OpenGVLab/InternVL-Chat-V1-5,vision_multimodal,opengvlab--internvit-6b-448px-v1-5,derived_from,primary,image-text-to-text,25514186112,multilingual;en;zh,recognized_identifier,multilingual-nlp;document-understanding,trained_on,"High-Quality Bilingual Dataset:** we carefully collected a high-quality bilingual dataset that covers common scenes, document images, and annotated them with English and Chinese question-answer pairs, significantly enhancing performance in OCR- and Chinese-related tasks.","Open‑source multimodal large language model (MLLM) that integrates vision and language for multimodal understanding, supporting high‑resolution images, bilingual question answering, OCR, document understanding, multi‑image inference, and multi‑turn conversation.",,,,,
OpenMOSS-Team/MOSS-VL-Base-0408,https://huggingface.co/OpenMOSS-Team/MOSS-VL-Base-0408,vision_multimodal,openmoss-team--moss-vl-base-0408,derived_from,primary,video-text-to-text,11336371208,en;zh,recognized_identifier,,intended_for,"supporting image understanding, long-video understanding, and realtime streaming interaction",MOSS‑VL‑Base‑0408 is a high‑capacity offline multimodal vision‑language base model that natively processes images and videos at their original resolution and supports interleaved image‑video inputs.,,,,,
OpenMOSS-Team/MOSS-VL-Base-0708,https://huggingface.co/OpenMOSS-Team/MOSS-VL-Base-0708,vision_multimodal,openmoss-team--moss-vl-base-0708,derived_from,primary,video-text-to-text,11336371208,en;zh,recognized_identifier,,intended_for,"Strong foundation model: provides general visual-language representations for image, video, and text inputs.","MOSS-VL is an open vision‑language model family from OpenMOSS, supporting image understanding, long‑video understanding, and realtime streaming interaction.",,,,,
OpenMOSS-Team/MOSS-VL-Instruct-0708,https://huggingface.co/OpenMOSS-Team/MOSS-VL-Instruct-0708,vision_multimodal,openmoss-team--moss-vl-base-0708,canonical,primary,video-text-to-text,11336371208,en;zh,recognized_identifier,document-understanding,intended_for,"General multimodal perception: supports image understanding, fine-grained visual recognition, OCR, and document analysis.","OpenMOSS MOSS‑VL‑Instruct‑0708 is an instruction‑tuned multimodal vision‑language model designed for high‑performance offline image, video, and text understanding. It supports OCR, document parsing, visual reasoning, and long‑form video comprehension with strong temporal reasoning, action recognition, and event localization capabilities.",,,,,
OpenMOSS-Team/moss-video-preview-base,https://huggingface.co/OpenMOSS-Team/moss-video-preview-base,vision_multimodal,openmoss-team--moss-video-preview-base,derived_from,primary,video-text-to-text,10670220835,en;zh,recognized_identifier,,intended_for,This repo contains the **pretrained weights** that are intended to serve as the starting point for downstream: - **Offline SFT**: instruction-following and reasoning on full video segments,"We introduce **MOSS-Video-Preview-Base**, the pretrained foundation checkpoint in the MOSS-Video-Preview series.",,,,,
OpenMOSS-Team/moss-video-preview-realtime-sft,https://huggingface.co/OpenMOSS-Team/moss-video-preview-realtime-sft,vision_multimodal,openmoss-team--moss-video-preview-base,canonical,primary,video-text-to-text,10670220835,en;zh,recognized_identifier,,intended_for,Low-latency Monitoring**: Detecting events or actions in real-time with minimal delay.,"MOSS-Video-Preview-Real-Time-SFT is a real‑time video‑to‑text model built on MOSS‑Video‑Preview‑SFT, featuring a cross‑attention architecture for low‑latency, frame‑by‑frame streaming generation.",,,,,
OpenMOSS-Team/moss-video-preview-sft,https://huggingface.co/OpenMOSS-Team/moss-video-preview-sft,vision_multimodal,openmoss-team--moss-video-preview-base,derived_from,primary,video-text-to-text,10670220835,en;zh,recognized_identifier,,intended_for,Offline video/image understanding** with improved instruction following,MOSS-Video-Preview-SFT is an offline supervised fine‑tuned checkpoint built on Llama‑3.2‑Vision that supports video‑to‑text generation with improved instruction following.,,,,,
SimaoQuintela/LayoutLMv3-FUNSD,https://huggingface.co/SimaoQuintela/LayoutLMv3-FUNSD,vision_multimodal,microsoft--layoutlmv3-base,derived_from,primary,document-question-answering,,pt;en,recognized_identifier,document-understanding,trained_on,This notebook trains the LayoutLMv3 layout model (on kagggle to take advantage of the GPU accelerators) on the [FUNSD](https://paperswithcode.com/dataset/funsd) dataset.,"Notebook that trains the LayoutLMv3 layout model on the FUNSD dataset for document question answering, with an inference phase that allows results to be stored on Google Drive.",,,,,
THUdyh/Oryx-34B,https://huggingface.co/THUdyh/Oryx-34B,vision_multimodal,01-ai--yi-1-5-34b,derived_from,primary,video-text-to-text,34880422384,en;zh,recognized_identifier,multilingual-nlp,evaluated_on,Common Image Benchmark,"Oryx-34B is a 34 B‑parameter multimodal model based on Qwen2 and Oryx‑ViT, trained on 1.2 M image/video data, providing on‑demand video‑text generation and visual input processing with arbitrary spatial sizes and temporal lengths.",,,,,
boluobobo/ItsNotAI-ai-detector-v2,https://huggingface.co/boluobobo/ItsNotAI-ai-detector-v2,vision_multimodal,microsoft--beit-large-patch16-224,derived_from,primary,image-classification,303409668,en;zh,recognized_identifier,,intended_for,Binary head provides more accurate Real/AI classification,A Vision Transformer model with dual-head architecture that detects AI-generated images and identifies the specific AI generator used.,,,,,
lakshya-rawat/document-qa-model,https://huggingface.co/lakshya-rawat/document-qa-model,vision_multimodal,microsoft--layoutlmv3-base,derived_from,primary,document-question-answering,125919106,en;es;fr;de;it,recognized_identifier,document-understanding;multilingual-nlp,trained_on,Images** of utility bills and documents,A fine-tuned document question-answering model based on LayoutLMv3 that uses OCR data to answer structured queries from scanned documents.,,,,,
pablo-moreira/puzzle-piece-detection,https://huggingface.co/pablo-moreira/puzzle-piece-detection,vision_multimodal,facebook--detr-resnet-50,derived_from,primary,object-detection,41607878,en;pt,recognized_identifier,,fine_tuned_on,The model is based on **DETR ResNet-50** and is fine-tuned to detect a single object category:,An object detection model for detecting **individual jigsaw puzzle pieces** in images containing one or more pieces.,,,,,
prolongvid/prolongvid_7B,https://huggingface.co/prolongvid/prolongvid_7B,vision_multimodal,prolongvid--prolongvid-image-sft-7b,canonical,primary,video-text-to-text,8030348832,en;zh,recognized_identifier,multilingual-nlp,intended_for,"Languages:** English, Chinese","ProLongVid-v1 is a 7B parameter video-text-to-text model based on Qwen2.5, trained on ProLongVid_data, supporting up to 256 frames and English/Chinese.",,,,,
prolongvid/prolongvid_stage1_7B,https://huggingface.co/prolongvid/prolongvid_stage1_7B,vision_multimodal,prolongvid--prolongvid-image-sft-7b,derived_from,primary,video-text-to-text,8030348832,en;zh,recognized_identifier,multilingual-nlp,trained_on,"This prolongvid_stage1_7B model is trained on stage-1 short-video data of [ProLongVid_data](https://huggingface.co/datasets/prolongvid/ProLongVid_data), based on [prolongvid_image_sft_7B](https://huggingface.co/prolongvid/prolongvid_image_sft_7B). We suggest testing this model with up to 32 frames.","ProLongVid-v1 7B‑parameter model for short‑video text generation, trained on ProLongVid_data, based on an extended Qwen2.5 language model with a 256K‑token context window.",,,,,
prolongvid/prolongvid_stage2_7B,https://huggingface.co/prolongvid/prolongvid_stage2_7B,vision_multimodal,prolongvid--prolongvid-image-sft-7b,derived_from,primary,video-text-to-text,8030348832,en;zh,recognized_identifier,,,,"ProLongVid-v1 7B parameter model for long‑video text generation, built on an extended Qwen2.5 language model with a 256K‑token context window.",,,,,
xiaosu-zhu/Qwen-VL-Narrator,https://huggingface.co/xiaosu-zhu/Qwen-VL-Narrator,vision_multimodal,qwen--qwen2-vl-7b,derived_from,primary,video-text-to-text,8292166656,en;zh,recognized_identifier,document-understanding;information-retrieval,intended_for,"fine-grained descriptions of characters, scenes, and filming techniques","Qwen-VL-Narrator is an expert model for understanding video clips from film and TV dramas and designed to generate fine-grained descriptions of characters, scenes, and filming techniques. It can be applied to scenarios such as video retrieval, summarization, understanding, and fine-grained annotation.",,,,,
0xnu/european-license-plate-recognition,https://huggingface.co/0xnu/european-license-plate-recognition,vision_multimodal,0xnu--european-license-plate-recognition,canonical,primary,object-detection,,en;de;fr;es;it;nl,recognized_identifier,computer-vision;multilingual-nlp,trained_on,- **Dataset**: European License Plate Dataset,"EULPR is a computer‑vision model architecture purpose‑built for detecting, reading, and recognizing European license plates, optimized for speed and accuracy across diverse EU plate formats.",,,,,
2KKLabs/Kaleidoscope_large_v1,https://huggingface.co/2KKLabs/Kaleidoscope_large_v1,vision_multimodal,ai-forever--rubert-large,canonical,primary,document-question-answering,425861122,ru;en,recognized_identifier,document-understanding;multilingual-nlp,fine_tuned_on,"Dataset: A custom JSON file with fields: context, question, and answer.","Fine‑tuned BertForQuestionAnswering model (Kaleidoscope_large_v1) for extracting answers from documents in Russian and English, based on a custom JSON dataset of context‑question‑answer triples.",,,,,
2z299/rtdetr-v2-r50-barcode-finetune,https://huggingface.co/2z299/rtdetr-v2-r50-barcode-finetune,vision_multimodal,pekingu--rtdetr-v2-r50vd,derived_from,primary,object-detection,42857099,,recognized_identifier,,,,"Fine-tuned RTDetrV2 object detection model for barcode detection, based on PekingU/rtdetr_v2_r50vd.",,,,,
AETHORIA-AI/TR-HASH-Vision-v8-2M-COCO,https://huggingface.co/AETHORIA-AI/TR-HASH-Vision-v8-2M-COCO,vision_multimodal,aethoria-ai--tr-hash-vision-v8-2m-coco,canonical,primary,object-detection,2586697,,recognized_identifier,object-detection,evaluated_on,"Official COCO evaluation on the 5,000-image `val2017` split at 640 px. The checkpoint was selected at the final epoch by official COCO mAP50-95.","Compact anchor‑free object detector trained on COCO, 2.53 M parameters, hierarchical vision tower, mixture of experts, evaluated with 16.59 COCO AP50‑95.",,,,,
AETHORIA-AI/TR-HASH-Vision-v8-2M-COCO-SFT,https://huggingface.co/AETHORIA-AI/TR-HASH-Vision-v8-2M-COCO-SFT,vision_multimodal,aethoria-ai--tr-hash-vision-v8-2m-coco,derived_from,primary,object-detection,2586697,,recognized_identifier,,trained_on,Dataset: COCO 2017 train; evaluation on COCO 2017 validation,"Best checkpoints from clean‑image supervised refinement of TR‑HASH Vision v8 2M COCO, 2.53 M parameters, 640 px inputs, trained on COCO 2017 for object detection.",,,,,
Aassemtkt/segformer-b3-finetuned-drugs-in-bins-nov-23,https://huggingface.co/Aassemtkt/segformer-b3-finetuned-drugs-in-bins-nov-23,vision_multimodal,nvidia--mit-b3,derived_from,primary,image-segmentation,47225538,,declared_text,biomedicine,evaluated_on,- Accuracy Drug-blister: 0.9799,Fine‑tuned Segformer model for drug‑blister image segmentation.,,,,,
Boogu/Boogu-Image-0.1-Turbo,https://huggingface.co/Boogu/Boogu-Image-0.1-Turbo,image_video_generation,boogu--boogu-image-0-1-turbo,derived_from,primary,text-to-image,10292556288,en;zh,recognized_identifier,multilingual-nlp,intended_for,robust bilingual (Chinese/English) rendering across diverse layouts,"Open‑source unified image generation and editing model family supporting high‑quality text‑to‑image generation, fast inference, image editing, and bilingual Chinese‑English text rendering.",,,,,
